distributor,zrep,category,demand segment,year,period,rolling_period,sell_out_actuals_qty,sell_out_forecast_qty_deimos,sell_out_forecast_qty,price,in_transit,target_inventory,beginning_inventory,woh_inventory_required,sell_in_actuals_qty,sell_in_forecast_qty,ending_inventory,planner_group,doh
D8,Product_25,C2,Seg 1,2024,12,P-17,34,176.8,176.8,18.50,0,6,0,197.5,374.2,374.2,197.5,High,31.3
D8,Product_25,C2,Seg 1,2024,13,P-16,18,131.6,131.6,18.51,0,6,263,266.5,135.2,135.2,266.5,High,56.7
D8,Product_25,C2,Seg 1,2025,1,P-15,28,177.7,177.7,18.50,0,6,238,231.4,171.1,171.1,231.4,High,36.5
D8,Product_25,C2,Seg 1,2025,2,P-14,20,154.2,154.2,18.51,0,6,412,200.1,0,0,257.8,High,46.8
D8,Product_25,C2,Seg 1,2025,3,P-13,21,133.4,133.4,18.50,0,6,351,221.9,4.3,4.3,221.9,High,46.6
D8,Product_25,C2,Seg 1,2025,4,P-12,21,147.9,147.9,18.50,0,6,354,235.7,29.6,29.6,235.7,High,44.6
D8,Product_25,C2,Seg 1,2025,5,P-11,24,157.1,157.1,18.50,0,6,339,246.8,64.9,64.9,246.8,High,44
D8,Product_25,C2,Seg 1,2025,6,P-10,20,164.6,164.6,18.50,0,6,347,248.5,66.1,66.1,248.5,High,42.3
D8,Product_25,C2,Seg 1,2025,7,P-9,22.4,165.7,165.7,18.50,0,6,249,215.7,132.4,132.4,215.7,High,36.5
D8,Product_25,C2,Seg 1,2025,8,P-8,14.4,143.8,143.8,18.50,0,6,251,220.6,113.4,113.4,220.6,High,42.9
D8,Product_25,C2,Seg 1,2025,9,P-7,29,147.1,147.1,18.50,0,6,214,219.3,152.4,152.4,219.3,High,41.8
D8,Product_25,C2,Seg 1,2025,10,P-6,184.9,146.2,146.2,18.50,0,6,268,218.2,96.4,96.4,218.2,High,41.8
D8,Product_25,C2,Seg 1,2025,11,P-5,27,145.5,145.5,18.49,0,6,309,226.6,63,63,226.6,High,43.6
D8,Product_25,C2,Seg 1,2025,12,P-4,57,151,151,18.51,0,6,260,168.6,59.7,59.7,168.6,High,31.3
D8,Product_25,C2,Seg 1,2025,13,P-3,19,112.4,112.4,18.50,0,6,275,259.3,96.7,96.7,259.3,High,64.6
D8,Product_25,C2,Seg 1,2026,1,P-2,27,172.8,172.8,18.50,0,6,286,218,104.8,104.8,218,High,35.3
D8,Product_25,C2,Seg 1,2026,2,P-1,22.6,145.3,145.3,18.50,105,6,219,183.5,109.8,109.8,183.5,High,35.4
D8,Product_25,C2,Seg 1,2026,3,P+0,3,122.3,122.3,18.51,155,6,190,249.2,,181.5,249.2,High,57
D8,Product_25,C2,Seg 1,2026,4,P+1,,166.1,166.1,18.50,50,6,249.2,226.2,,143.2,226.2,High,38.1
D8,Product_25,C2,Seg 1,2026,5,P+2,,150.8,150.8,18.50,0,6,226.2,228.7,,153.2,228.7,High,42.4
D8,Product_25,C2,Seg 1,2026,6,P+3,,152.4,152.4,18.51,0,6,228.7,251.4,,175.1,251.4,High,46.2
D8,Product_25,C2,Seg 1,2026,7,P+4,,167.6,167.6,18.50,0,6,251.4,216.5,,132.7,216.5,High,36.2
D8,Product_25,C2,Seg 1,2026,8,P+5,,144.3,144.3,18.50,0,6,216.5,209.7,,137.5,209.7,High,40.7
D8,Product_25,C2,Seg 1,2026,9,P+6,,139.8,139.8,18.50,0,6,209.7,227.6,,157.8,227.6,High,45.6
D8,Product_25,C2,Seg 1,2026,10,P+7,,151.8,151.8,18.50,0,6,227.6,254.4,,178.5,254.4,High,46.9
D8,Product_25,C2,Seg 1,2026,11,P+8,,169.6,169.6,18.50,0,6,254.4,217.7,,132.9,217.7,High,36
D8,Product_25,C2,Seg 1,2026,12,P+9,,145.2,145.2,18.50,0,6,217.7,192.4,,119.8,192.4,High,37.1
D8,Product_25,C2,Seg 1,2026,13,P+10,,128.3,128.3,18.50,0,6,192.4,264.8,,200.7,264.8,High,57.8
D8,Product_25,C2,Seg 1,2027,1,P+11,,176.6,176.6,18.50,0,6,264.8,199,,110.7,199,High,31.6
D8,Product_25,C2,Seg 1,2027,2,P+12,,132.7,132.7,18.50,0,6,199,147.2,,80.9,147.2,High,31.1
D8,Product_25,C2,Seg 1,2027,3,P+13,,98.1,98.1,18.51,0,6,147.2,245.5,,196.4,245.5,High,70
D8,Product_25,C2,Seg 1,2027,4,P+14,,163.7,163.7,18.50,0,6,245.5,202.9,,121.1,202.9,High,34.7
D8,Product_25,C2,Seg 1,2027,5,P+15,,135.3,135.3,18.50,0,6,202.9,208.5,,140.8,208.5,High,43.2
D8,Product_25,C2,Seg 1,2027,6,P+16,,139,139,18.50,0,6,208.5,240.3,,170.9,240.3,High,48.4
D8,Product_25,C2,Seg 1,2027,7,P+17,,160.2,160.2,18.50,0,6,240.3,195.1,,115,195.1,High,34.1
D8,Product_25,C2,Seg 1,2027,8,P+18,,130.1,130.1,18.50,0,6,195.1,185.2,,120.2,185.2,High,39.9
D8,Product_25,C2,Seg 1,2027,9,P+19,,123.5,123.5,18.50,0,6,185.2,210.2,,148.5,210.2,High,47.7
D8,Product_25,C2,Seg 1,2027,10,P+20,,140.1,140.1,18.51,0,6,210.2,254.8,,184.7,254.8,High,50.9
D8,Product_25,C2,Seg 1,2027,11,P+21,,169.8,169.8,18.50,0,6,254.8,181,,96.1,181,High,29.8
D8,Product_25,C2,Seg 1,2027,12,P+22,,120.7,120.7,18.50,0,6,181,129.4,,69.1,129.4,High,30
D8,Product_25,C2,Seg 1,2027,13,P+23,,86.3,86.3,18.49,0,6,129.4,267.5,,224.4,267.5,High,86.8
D8,Product_25,C2,Seg 1,2028,1,P+24,,178.3,178.3,18.50,0,6,267.5,177.8,,88.6,177.8,High,27.9
D8,Product_25,C2,Seg 1,2028,2,P+25,,118.5,118.5,18.50,0,6,177.8,112.6,,53.3,112.6,High,26.6
D8,Product_25,C2,Seg 1,2028,3,P+26,,75,75,18.51,0,6,112.6,241.9,,204.4,241.9,High,90.3
D8,Product_25,C2,Seg 1,2028,4,P+27,,161.3,161.3,18.50,0,6,241.9,179.1,,98.4,179.1,High,31.1
D8,Product_25,C2,Seg 1,2028,5,P+28,,119.4,119.4,18.49,0,6,179.1,189,,129.3,189,High,44.3
D8,Product_25,C2,Seg 1,2028,6,P+29,,126,126,18.50,0,6,189,228.6,,165.7,228.6,High,50.8
D8,Product_25,C2,Seg 1,2028,7,P+30,,152.4,152.4,18.50,0,6,228.6,173.2,,97,173.2,High,31.8
D8,Product_25,C2,Seg 1,2028,8,P+31,,115.5,115.5,18.50,0,6,173.2,161.6,,103.9,161.6,High,39.2
D8,Product_25,C2,Seg 1,2028,9,P+32,,107.8,107.8,18.49,0,6,161.6,194.2,,140.3,194.2,High,50.5
D8,Product_25,C2,Seg 1,2028,10,P+33,,129.5,129.5,18.49,0,6,194.2,252.9,,188.2,252.9,High,54.7
D8,Product_25,C2,Seg 1,2028,11,P+34,,168.6,168.6,18.50,0,6,252.9,143.3,,59,143.3,High,23.8
D8,Product_25,C2,Seg 1,2028,12,P+35,,95.5,95.5,18.51,0,6,143.3,108.4,,60.6,108.4,High,31.8
D8,Product_25,C2,Seg 1,2028,13,P+36,,72.3,72.3,18.49,0,6,108.4,268.9,,232.8,268.9,High,104.2
D8,Product_25,C2,Seg 1,2029,1,P+37,,179.3,179.3,18.50,0,6,268.9,154.5,,64.9,154.5,High,24.1
D8,Product_25,C2,Seg 1,2029,2,P+38,,103,103,18.50,0,6,154.5,80,,28.5,80,High,21.7
D8,Product_25,C2,Seg 1,2029,3,P+39,,53.3,53.3,18.50,0,6,80,80,,53.3,80,High,42
D8,Product_26,C2,Seg 1,2021,3,P-65,209.5,413.7,413.7,18.50,0,6,0,652.7,1066.4,1066.4,652.7,High,44.2
D8,Product_26,C2,Seg 1,2021,4,P-64,103.7,435.1,435.1,18.50,0,6,0,551.3,986.4,986.4,551.3,High,35.5
D8,Product_26,C2,Seg 1,2021,5,P-63,96.5,367.5,367.5,18.50,0,6,0,532.4,899.9,899.9,532.4,High,40.6
D8,Product_26,C2,Seg 1,2021,6,P-62,146.9,354.9,354.9,18.50,0,6,0,681.8,1036.7,1036.7,681.8,High,53.8
D8,Product_26,C2,Seg 1,2021,7,P-61,140,454.5,454.5,18.50,0,6,0,626.2,1080.7,1080.7,626.2,High,38.6
D8,Product_26,C2,Seg 1,2021,8,P-60,132.8,417.4,417.4,18.50,0,6,0,602.8,1020.2,1020.2,602.8,High,40.4
D8,Product_26,C2,Seg 1,2021,9,P-59,209.5,401.9,401.9,18.50,0,6,0,650.6,1052.5,1052.5,650.6,High,45.3
D8,Product_26,C2,Seg 1,2021,10,P-58,162.2,433.8,433.8,18.50,0,6,0,644.5,1078.3,1078.3,644.5,High,41.6
D8,Product_26,C2,Seg 1,2021,11,P-57,279.3,429.7,429.7,18.50,0,6,0,680.1,1109.8,1109.8,680.1,High,44.3
D8,Product_26,C2,Seg 1,2021,12,P-56,235.5,453.4,453.4,18.50,0,6,0,660.8,1114.2,1114.2,660.8,High,40.8
D8,Product_26,C2,Seg 1,2021,13,P-55,282.3,440.6,440.6,18.50,0,6,0,675.9,1116.5,1116.5,675.9,High,43
D8,Product_26,C2,Seg 1,2022,1,P-54,312.5,450.6,450.6,18.50,0,6,0,720.5,1171.1,1171.1,720.5,High,44.8
D8,Product_26,C2,Seg 1,2022,2,P-53,299.8,480.4,480.4,18.50,0,6,0,683.8,1164.2,1164.2,683.8,High,39.9
D8,Product_26,C2,Seg 1,2022,3,P-52,207.9,455.9,455.9,18.50,0,6,0,612.4,1068.3,1068.3,612.4,High,37.6
D8,Product_26,C2,Seg 1,2022,4,P-51,397.8,408.3,408.3,18.50,0,6,0,652.4,1060.7,1060.7,652.4,High,44.7
D8,Product_26,C2,Seg 1,2022,5,P-50,341.5,435,435,18.50,0,6,0,714.4,1149.4,1149.4,714.4,High,46
D8,Product_26,C2,Seg 1,2022,6,P-49,556.9,476.3,476.3,18.50,0,6,0,759.4,1235.7,1235.7,759.4,High,44.6
D8,Product_26,C2,Seg 1,2022,7,P-48,228.1,506.3,506.3,18.50,0,6,0,592.4,1098.7,1098.7,592.4,High,32.8
D8,Product_26,C2,Seg 1,2022,8,P-47,212.7,394.9,394.9,18.50,0,6,0,480,875,875,480,High,34
D8,Product_26,C2,Seg 1,2022,9,P-46,63,320,320,18.50,0,6,0,526.6,846.6,846.6,526.6,High,46.1
D8,Product_26,C2,Seg 1,2022,10,P-45,121.6,351.1,351.1,18.50,0,6,0,388.7,739.8,739.8,388.7,High,31
D8,Product_26,C2,Seg 1,2022,11,P-44,,259.2,259.2,18.50,0,6,0,431.8,690.9,690.9,431.8,High,46.6
D8,Product_26,C2,Seg 1,2022,12,P-43,351,287.9,287.9,18.50,0,6,0,747.3,1035.1,1035.1,747.3,High,72.7
D8,Product_26,C2,Seg 1,2022,13,P-42,306.5,498.2,498.2,18.50,0,6,0,844.7,1342.8,1342.8,844.7,High,47.5
D8,Product_26,C2,Seg 1,2023,1,P-41,312.8,563.1,563.1,18.50,0,6,0,550,1113.1,1113.1,550,High,27.3
D8,Product_26,C2,Seg 1,2023,2,P-40,318.9,366.7,366.7,18.50,0,6,0,648.3,1015,1015,648.3,High,49.5
D8,Product_26,C2,Seg 1,2023,3,P-39,397.4,432.2,432.2,18.50,0,6,0,720.8,1153,1153,720.8,High,46.7
D8,Product_26,C2,Seg 1,2023,4,P-38,341.9,480.5,480.5,18.50,0,6,0,667.8,1148.3,1148.3,667.8,High,38.9
D8,Product_26,C2,Seg 1,2023,5,P-37,308,445.2,445.2,18.50,0,6,0,675.8,1121.1,1121.1,675.8,High,42.5
D8,Product_26,C2,Seg 1,2023,6,P-36,188.1,450.6,450.6,18.50,0,6,0,621.1,1071.7,1071.7,621.1,High,38.6
D8,Product_26,C2,Seg 1,2023,7,P-35,200.2,414.1,414.1,18.50,0,6,0,597.5,1011.6,1011.6,597.5,High,40.4
D8,Product_26,C2,Seg 1,2023,8,P-34,201.7,398.3,398.3,18.50,0,6,0,654.3,1052.6,1052.6,654.3,High,46
D8,Product_26,C2,Seg 1,2023,9,P-33,168,436.2,436.2,18.50,0,6,0,630.3,1066.5,1066.5,630.3,High,40.5
D8,Product_26,C2,Seg 1,2023,10,P-32,139.6,420.2,420.2,18.50,0,6,0,593.6,1013.8,1013.8,593.6,High,39.6
D8,Product_26,C2,Seg 1,2023,11,P-31,161.3,395.8,395.8,18.50,0,6,0,619.4,1015.2,1015.2,619.4,High,43.8
D8,Product_26,C2,Seg 1,2023,12,P-30,172.5,413,413,18.50,0,6,0,635.1,1048.1,1048.1,635.1,High,43.1
D8,Product_26,C2,Seg 1,2023,13,P-29,180.6,423.4,423.4,18.50,0,6,0,622.7,1046.1,1046.1,622.7,High,41.2
D8,Product_26,C2,Seg 1,2024,1,P-28,162.8,415.1,415.1,18.50,0,6,0,609.9,1025,1025,609.9,High,41.1
D8,Product_26,C2,Seg 1,2024,2,P-27,160.9,406.6,406.6,18.50,0,6,0,592.1,998.7,998.7,592.1,High,40.8
D8,Product_26,C2,Seg 1,2024,3,P-26,199.1,394.7,394.7,18.50,0,6,0,621,1015.7,1015.7,621,High,44.1
D8,Product_26,C2,Seg 1,2024,4,P-25,173.9,414,414,18.50,0,6,0,629.2,1043.2,1043.2,629.2,High,42.6
D8,Product_26,C2,Seg 1,2024,5,P-24,254.3,419.4,419.4,18.50,0,6,0,669.8,1089.2,1089.2,669.8,High,44.7
D8,Product_26,C2,Seg 1,2024,6,P-23,145.8,446.5,446.5,18.50,0,6,0,635.6,1082.1,1082.1,635.6,High,39.9
D8,Product_26,C2,Seg 1,2024,7,P-22,61.8,423.7,423.7,18.50,0,6,0,499.5,923.2,923.2,499.5,High,33
D8,Product_26,C2,Seg 1,2024,8,P-21,189.8,333,333,18.50,0,6,0,613,946,946,613,High,51.5
D8,Product_26,C2,Seg 1,2024,9,P-20,160,408.7,408.7,18.50,0,6,0,670,1078.6,1078.6,670,High,45.9
D8,Product_26,C2,Seg 1,2024,10,P-19,144,446.6,446.6,18.50,0,6,0,565.1,1011.7,1011.7,565.1,High,35.4
D8,Product_26,C2,Seg 1,2024,11,P-18,105.8,376.7,376.7,18.50,0,6,0,580.6,957.3,957.3,580.6,High,43.1
D8,Product_26,C2,Seg 1,2024,12,P-17,137,387,387,18.50,0,6,0,608.6,995.6,995.6,608.6,High,44
D8,Product_26,C2,Seg 1,2024,13,P-16,175,405.7,405.7,18.50,0,6,830,615.7,191.4,191.4,615.7,High,42.5
D8,Product_26,C2,Seg 1,2025,1,P-15,152,410.5,410.5,18.50,0,6,1110,613.9,0,0,699.5,High,47.7
D8,Product_26,C2,Seg 1,2025,2,P-14,112.9,409.3,409.3,18.50,0,6,903,567.9,74.2,74.2,567.9,High,38.9
D8,Product_26,C2,Seg 1,2025,3,P-13,228.8,378.6,378.6,18.50,0,6,929,627.2,76.8,76.8,627.2,High,46.4
D8,Product_26,C2,Seg 1,2025,4,P-12,115,418.1,418.1,18.50,0,6,832,606.2,192.4,192.4,606.2,High,40.6
D8,Product_26,C2,Seg 1,2025,5,P-11,172,404.2,404.2,18.50,0,6,834,547.3,117.5,117.5,547.3,High,37.9
D8,Product_26,C2,Seg 1,2025,6,P-10,113,364.9,364.9,18.50,0,6,453,623.4,535.2,535.2,623.4,High,47.8
D8,Product_26,C2,Seg 1,2025,7,P-9,109.9,415.6,415.6,18.50,0,6,678,572.4,310,310,572.4,High,38.6
D8,Product_26,C2,Seg 1,2025,8,P-8,138.9,381.6,381.6,18.50,0,6,1108,578,0,0,726.4,High,53.3
D8,Product_26,C2,Seg 1,2025,9,P-7,202,385.4,385.4,18.50,0,6,812,642.8,216.2,216.2,642.8,High,46.7
D8,Product_26,C2,Seg 1,2025,10,P-6,155,428.5,428.5,18.50,0,6,475,608,561.6,561.6,608,High,39.7
D8,Product_26,C2,Seg 1,2025,11,P-5,160,405.4,405.4,18.50,0,6,396,587.2,596.6,596.6,587.2,High,40.6
D8,Product_26,C2,Seg 1,2025,12,P-4,157,391.5,391.5,18.50,0,6,309,620.8,703.3,703.3,620.8,High,44.4
D8,Product_26,C2,Seg 1,2025,13,P-3,197,413.8,413.8,18.50,0,6,76,623.4,961.3,961.3,623.4,High,42.2
D8,Product_26,C2,Seg 1,2026,1,P-2,123,415.6,415.6,18.50,0,6,454,620.6,582.2,582.2,620.6,High,41.8
D8,Product_26,C2,Seg 1,2026,2,P-1,171.6,413.7,413.7,18.50,300,6,569,620.6,465.3,465.3,620.6,High,42
D8,Product_26,C2,Seg 1,2026,3,P+0,12,413.7,413.7,18.50,300,6,461,620.6,,573.3,620.6,High,42
D8,Product_26,C2,Seg 1,2026,4,P+1,,413.7,413.7,18.50,150,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2026,5,P+2,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2026,6,P+3,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2026,7,P+4,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2026,8,P+5,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2026,9,P+6,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2026,10,P+7,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2026,11,P+8,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2026,12,P+9,,413.7,413.7,18.50,0,6,620.6,775.7,,568.9,775.7,High,52.5
D8,Product_26,C2,Seg 1,2026,13,P+10,,517.1,517.1,18.50,0,6,775.7,620.6,,362,620.6,High,33.6
D8,Product_26,C2,Seg 1,2027,1,P+11,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,2,P+12,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,3,P+13,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,4,P+14,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,5,P+15,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,6,P+16,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,7,P+17,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,8,P+18,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,9,P+19,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,10,P+20,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,11,P+21,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,12,P+22,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2027,13,P+23,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,1,P+24,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,2,P+25,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,3,P+26,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,4,P+27,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,5,P+28,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,6,P+29,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,7,P+30,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,8,P+31,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,9,P+32,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,10,P+33,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,11,P+34,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,12,P+35,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2028,13,P+36,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2029,1,P+37,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2029,2,P+38,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_26,C2,Seg 1,2029,3,P+39,,413.7,413.7,18.50,0,6,620.6,620.6,,413.7,620.6,High,42
D8,Product_27,C2,Seg 1,2021,1,P-67,4,453.1,453.1,18.50,0,6,0,587.6,1040.7,1040.7,587.6,High,36.3
D8,Product_27,C2,Seg 1,2021,2,P-66,,391.7,391.7,18.50,0,6,0,554,945.7,945.7,554,High,39.6
D8,Product_27,C2,Seg 1,2021,3,P-65,256,369.3,369.3,18.50,0,6,0,544.3,913.7,913.7,544.3,High,41.3
D8,Product_27,C2,Seg 1,2021,4,P-64,175,362.9,362.9,18.50,0,6,0,612.6,975.5,975.5,612.6,High,47.3
D8,Product_27,C2,Seg 1,2021,5,P-63,188,408.4,408.4,18.50,0,6,0,769.9,1178.3,1178.3,769.9,High,52.8
D8,Product_27,C2,Seg 1,2021,6,P-62,126,513.3,513.3,18.50,0,6,0,746.5,1259.7,1259.7,746.5,High,40.7
D8,Product_27,C2,Seg 1,2021,7,P-61,108,497.6,497.6,18.50,0,6,0,719.7,1217.4,1217.4,719.7,High,40.5
D8,Product_27,C2,Seg 1,2021,8,P-60,86,479.8,479.8,18.50,0,6,0,658,1137.9,1137.9,658,High,38.4
D8,Product_27,C2,Seg 1,2021,9,P-59,128,438.7,438.7,18.50,0,6,0,666.8,1105.5,1105.5,666.8,High,42.6
D8,Product_27,C2,Seg 1,2021,10,P-58,133,444.5,444.5,18.50,0,6,0,701.4,1145.9,1145.9,701.4,High,44.2
D8,Product_27,C2,Seg 1,2021,11,P-57,283,467.6,467.6,18.50,0,6,0,742.2,1209.8,1209.8,742.2,High,44.4
D8,Product_27,C2,Seg 1,2021,12,P-56,228,494.8,494.8,18.50,0,6,0,747.3,1242,1242,747.3,High,42.3
D8,Product_27,C2,Seg 1,2021,13,P-55,315,498.2,498.2,18.50,0,6,0,790.8,1289,1289,790.8,High,44.4
D8,Product_27,C2,Seg 1,2022,1,P-54,266,527.2,527.2,18.50,0,6,0,746.5,1273.7,1273.7,746.5,High,39.6
D8,Product_27,C2,Seg 1,2022,2,P-53,304,497.7,497.7,18.50,0,6,0,790.9,1288.5,1288.5,790.9,High,44.5
D8,Product_27,C2,Seg 1,2022,3,P-52,238,527.2,527.2,18.50,0,6,0,748.9,1276.2,1276.2,748.9,High,39.8
D8,Product_27,C2,Seg 1,2022,4,P-51,4,499.3,499.3,18.50,0,6,0,654.7,1154,1154,654.7,High,36.7
D8,Product_27,C2,Seg 1,2022,5,P-50,297,436.5,436.5,18.50,0,6,0,692.7,1129.2,1129.2,692.7,High,44.4
D8,Product_27,C2,Seg 1,2022,6,P-49,72,461.8,461.8,18.50,0,6,0,479.6,941.4,941.4,479.6,High,29.1
D8,Product_27,C2,Seg 1,2022,7,P-48,227,319.7,319.7,18.50,0,6,0,689.7,1009.4,1009.4,689.7,High,60.4
D8,Product_27,C2,Seg 1,2022,8,P-47,277,459.8,459.8,18.50,0,6,0,621,1080.8,1080.8,621,High,37.8
D8,Product_27,C2,Seg 1,2022,9,P-46,252,414,414,18.50,0,6,0,703,1117,1117,703,High,47.5
D8,Product_27,C2,Seg 1,2022,10,P-45,,468.6,468.6,18.50,0,6,0,670.2,1138.8,1138.8,670.2,High,40
D8,Product_27,C2,Seg 1,2022,11,P-44,433,446.8,446.8,18.50,0,6,0,834.7,1281.5,1281.5,834.7,High,52.3
D8,Product_27,C2,Seg 1,2022,12,P-43,384,556.4,556.4,18.50,0,6,0,652.1,1208.6,1208.6,652.1,High,32.8
D8,Product_27,C2,Seg 1,2022,13,P-42,260,434.7,434.7,18.50,0,6,0,952.3,1387.1,1387.1,952.3,High,61.3
D8,Product_27,C2,Seg 1,2023,1,P-41,273,634.9,634.9,18.50,0,6,0,747,1381.9,1381.9,747,High,32.9
D8,Product_27,C2,Seg 1,2023,2,P-40,218,498,498,18.50,0,6,0,678.4,1176.4,1176.4,678.4,High,38.1
D8,Product_27,C2,Seg 1,2023,3,P-39,142,452.3,452.3,18.50,0,6,0,629.9,1082.1,1082.1,629.9,High,39
D8,Product_27,C2,Seg 1,2023,4,P-38,162,419.9,419.9,18.50,0,6,0,671.7,1091.6,1091.6,671.7,High,44.8
D8,Product_27,C2,Seg 1,2023,5,P-37,162,447.8,447.8,18.50,0,6,0,660.8,1108.6,1108.6,660.8,High,41.3
D8,Product_27,C2,Seg 1,2023,6,P-36,181,440.5,440.5,18.50,0,6,0,681.8,1122.3,1122.3,681.8,High,43.3
D8,Product_27,C2,Seg 1,2023,7,P-35,191,454.5,454.5,18.50,0,6,0,676.4,1130.9,1130.9,676.4,High,41.7
D8,Product_27,C2,Seg 1,2023,8,P-34,228,450.9,450.9,18.50,0,6,0,688.2,1139.1,1139.1,688.2,High,42.7
D8,Product_27,C2,Seg 1,2023,9,P-33,173,458.8,458.8,18.50,0,6,0,684.8,1143.7,1143.7,684.8,High,41.8
D8,Product_27,C2,Seg 1,2023,10,P-32,160,456.6,456.6,18.50,0,6,0,693.1,1149.6,1149.6,693.1,High,42.5
D8,Product_27,C2,Seg 1,2023,11,P-31,161,462,462,18.50,0,6,0,673.5,1135.6,1135.6,673.5,High,40.8
D8,Product_27,C2,Seg 1,2023,12,P-30,154,449,449,18.50,0,6,0,669.1,1118.1,1118.1,669.1,High,41.7
D8,Product_27,C2,Seg 1,2023,13,P-29,169,446,446,18.50,0,6,0,669.6,1115.6,1115.6,669.6,High,42
D8,Product_27,C2,Seg 1,2024,1,P-28,148,446.4,446.4,18.50,0,6,0,661.9,1108.3,1108.3,661.9,High,41.5
D8,Product_27,C2,Seg 1,2024,2,P-27,149,441.3,441.3,18.50,0,6,0,666.3,1107.6,1107.6,666.3,High,42.3
D8,Product_27,C2,Seg 1,2024,3,P-26,186,444.2,444.2,18.50,0,6,0,668.2,1112.4,1112.4,668.2,High,42.1
D8,Product_27,C2,Seg 1,2024,4,P-25,135,445.4,445.4,18.50,0,6,0,664,1109.4,1109.4,664,High,41.7
D8,Product_27,C2,Seg 1,2024,5,P-24,139,442.6,442.6,18.50,0,6,0,681.3,1123.9,1123.9,681.3,High,43.1
D8,Product_27,C2,Seg 1,2024,6,P-23,136,454.2,454.2,18.50,0,6,0,667.5,1121.7,1121.7,667.5,High,41.2
